"Port","Commodity","Region","Mode","State","trade_type","Tons_2019","Value_2019","Tons_2021","Value_2021","Tons_2022","Value_2022"
"Atlanta","08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel","Australia and Oceania",4,"GA","Export",0.000462522045855379,0.00525,NA,NA,NA,NA
"Atlanta","08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel","Europe",4,"GA","Export",0.000712411816578483,0.01147,0.00285152116402116,0.03278,NA,NA
"Atlanta","08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel","Europe",4,"GA","Import",8.61992945326279e-05,0.005017,0.00132837301587302,0.081892,NA,NA
"Atlanta","08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel","South/Central America",4,"GA","Export",0.00023533950617284,0.026381,NA,NA,NA,NA
"Atlanta","08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel","South/Central America",4,"GA","Import",0.0722547398589065,1.921322,0.0399111552028219,1.80653,0,1.834924
"Atlanta","09 Coffee, Tea, Mate & Spices","Africa",4,"GA","Export",0.000123126102292769,0.009182,7.48456790123457e-05,0.008594,0.000375881834215168,0.009386
"Atlanta","09 Coffee, Tea, Mate & Spices","Africa",4,"GA","Import",0.00455776014109347,11.269576,0.00178560405643739,2.054237,0,1.569917
"Atlanta","09 Coffee, Tea, Mate & Spices","Asia",4,"GA","Export",0.00938547178130512,1.260713,0.00339329805996473,0.365449,0.00383928571428571,0.539518
"Atlanta","09 Coffee, Tea, Mate & Spices","Asia",4,"GA","Import",0.00320899470899471,2.065735,0.00472387566137566,0.373473,0,0.476791
"Atlanta","09 Coffee, Tea, Mate & Spices","Europe",4,"GA","Export",0.00898434744268078,1.052757,0.00392647707231041,0.441086,0.00813337742504409,0.569639
"Atlanta","09 Coffee, Tea, Mate & Spices","Europe",4,"GA","Import",0.00173500881834215,0.477445,0.00489208553791887,1.420388,0,1.009772
"Atlanta","09 Coffee, Tea, Mate & Spices","North America",4,"GA","Export",5.0705467372134e-06,0.004347,NA,NA,NA,NA
"Atlanta","09 Coffee, Tea, Mate & Spices","North America",4,"GA","Import",0.000119598765432099,0.007289,0.000781856261022928,0.111072,NA,NA
"Atlanta","09 Coffee, Tea, Mate & Spices","South/Central America",4,"GA","Export",6.39329805996473e-05,0.006956,0.00098776455026455,0.022826,0.000771164021164021,0.055364
"Atlanta","09 Coffee, Tea, Mate & Spices","South/Central America",4,"GA","Import",0.0139194223985891,0.55361,0.0122303791887125,0.448851,0,0.491014
"Atlanta","10 Cereals","Asia",4,"GA","Export",0.000276344797178131,0.026055,NA,NA,NA,NA
"Atlanta","10 Cereals","Europe",4,"GA","Export",0.00125,0.240951,NA,NA,NA,NA
"Atlanta","10 Cereals","South/Central America",4,"GA","Import",6.82319223985891e-05,0.005942,NA,NA,NA,NA
"Atlanta","11 Milling Products; Malt; Starch; Inulin; Wht Gluten","Africa",4,"GA","Import",2.9320987654321e-05,0.0022,4.62962962962963e-05,0.0025,NA,NA
"Atlanta","11 Milling Products; Malt; Starch; Inulin; Wht Gluten","Asia",4,"GA","Export",0.00587125220458554,0.087618,0.00235438712522046,0.066095,0.000861992945326279,0.023892
"Atlanta","11 Milling Products; Malt; Starch; Inulin; Wht Gluten","Europe",4,"GA","Import",0.00129684744268078,0.01135,0.0390459656084656,0.597852,0,0.007301
"Atlanta","11 Milling Products; Malt; Starch; Inulin; Wht Gluten","South/Central America",4,"GA","Import",0.000703373015873016,0.058675,0.00290399029982363,0.151703,0,0.138002
"Atlanta","12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc","Africa",4,"GA","Export",0.000579254850088183,0.160876,0.00167768959435626,0.01852,3.9021164021164e-05,0.058294
"Atlanta","12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc","Africa",4,"GA","Import",0.000682098765432099,0.153029,0.000456459435626102,0.712609,0,0.030769
"Atlanta","12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc","Asia",4,"GA","Export",0.00332550705467372,1.063282,0.00321968694885362,3.368748,0.00521770282186949,4.401358
"Atlanta","12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc","Asia",4,"GA","Import",0.00251697530864198,0.196556,0.000875110229276896,0.637014,0,0.253763
"Atlanta","12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc","Europe",4,"GA","Export",0.00363238536155203,0.144597,0.00469279100529101,0.462642,0.00283366402116402,2.062041
"Atlanta","12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc","Europe",4,"GA","Import",0.00075055114638448,6.643757,0.00112411816578483,0.187776,0,0.31675
"Atlanta","12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc","North America",4,"GA","Import",0.00712555114638448,0.490537,0.00540520282186949,0.470982,0,0.318396
"Atlanta","12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc","South/Central America",4,"GA","Export",0.00478163580246914,2.63527,0.00400462962962963,3.575328,0.00406635802469136,3.970029
"Atlanta","12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc","South/Central America",4,"GA","Import",0.0115088183421517,4.411655,0.00276300705467372,4.040665,0,4.241578
"Atlanta","13 Lac; Gums, Resins & Other Vegetable Sap & Extract","Africa",4,"GA","Export",0.000106922398589065,0.014133,4.07848324514991e-06,0.004088,5.53350970017637e-05,0.017251
"Atlanta","13 Lac; Gums, Resins & Other Vegetable Sap & Extract","Africa",4,"GA","Import",0.000535934744268078,0.042312,0.000244708994708995,0.408,0,0.918
"Atlanta","13 Lac; Gums, Resins & Other Vegetable Sap & Extract","Asia",4,"GA","Export",0.00570491622574956,1.727376,0.0122774470899471,2.752789,0.00712290564373898,1.37988
"Atlanta","13 Lac; Gums, Resins & Other Vegetable Sap & Extract","Asia",4,"GA","Import",0.000717372134038801,0.959385,0.00705963403880071,2.010488,0,1.442684
"Atlanta","13 Lac; Gums, Resins & Other Vegetable Sap & Extract","Australia and Oceania",4,"GA","Export",0.00114263668430335,0.040536,7.27513227513227e-05,0.10705,4.55246913580247e-05,0.018874
"Atlanta","13 Lac; Gums, Resins & Other Vegetable Sap & Extract","Australia and Oceania",4,"GA","Import",0.00220734126984127,1.053726,0.000616181657848324,0.297856,0,0.4235
"Atlanta","13 Lac; Gums, Resins & Other Vegetable Sap & Extract","Europe",4,"GA","Export",0.00105676807760141,0.422009,0.00488029100529101,1.347413,0.00814153439153439,1.926168
"Atlanta","13 Lac; Gums, Resins & Other Vegetable Sap & Extract","Europe",4,"GA","Import",0.00554320987654321,5.188692,0.00912610229276896,3.360013,0,5.214765
"Atlanta","13 Lac; Gums, Resins & Other Vegetable Sap & Extract","South/Central America",4,"GA","Export",0.000105599647266314,0.112965,0.00402843915343915,1.324746,0.00114109347442681,0.498127
"Atlanta","13 Lac; Gums, Resins & Other Vegetable Sap & Extract","South/Central America",4,"GA","Import",0.000491181657848324,0.3026,0.00958289241622575,1.282631,0,3.235227
"Atlanta","14 Vegetable Plaiting Materials & Products Nesoi","Africa",4,"GA","Import",4.81701940035273e-05,0.04069,1.34479717813051e-05,0.0027,NA,NA
"Atlanta","14 Vegetable Plaiting Materials & Products Nesoi","Asia",4,"GA","Import",0.00117471340388007,0.092932,0.00105533509700176,0.018,0,0.015
"Atlanta","14 Vegetable Plaiting Materials & Products Nesoi","Europe",4,"GA","Export",0.00295976631393298,0.022422,0.00271869488536155,0.05285,0.000250661375661376,0.067909
"Atlanta","14 Vegetable Plaiting Materials & Products Nesoi","Europe",4,"GA","Import",0.000280313051146384,0.049593,NA,NA,NA,NA
"Atlanta","14 Vegetable Plaiting Materials & Products Nesoi","South/Central America",4,"GA","Export",1.42195767195767e-05,0.002566,NA,NA,NA,NA
"Atlanta","15 Animal, Vegetable Or Microbial Fats And Oils Etc","Africa",4,"GA","Export",2.44708994708995e-05,0.004343,3.24074074074074e-05,0.015312,1.1794532627866e-05,0.007327
"Atlanta","15 Animal, Vegetable Or Microbial Fats And Oils Etc","Africa",4,"GA","Import",0.000543430335097002,0.105785,1.26763668430335e-05,0.00276,0,0.022147
"Atlanta","15 Animal, Vegetable Or Microbial Fats And Oils Etc","Asia",4,"GA","Export",0.0784222883597884,4.372968,0.0216953262786596,2.044785,0.0102702821869489,1.221449
"Atlanta","15 Animal, Vegetable Or Microbial Fats And Oils Etc","Asia",4,"GA","Import",5.18077601410935e-05,0.007243,8.48765432098765e-06,0.00213,NA,NA
"Atlanta","15 Animal, Vegetable Or Microbial Fats And Oils Etc","Australia and Oceania",4,"GA","Import",0.000255952380952381,0.041594,3.82495590828924e-05,0.013055,0,0.00432
"Atlanta","15 Animal, Vegetable Or Microbial Fats And Oils Etc","Europe",4,"GA","Export",0.0210097001763668,0.844505,0.0047826278659612,0.224069,0.00668705908289242,0.329039
"Atlanta","15 Animal, Vegetable Or Microbial Fats And Oils Etc","Europe",4,"GA","Import",0.00865465167548501,0.613538,0.00397619047619048,0.661722,0,0.202912
"Atlanta","15 Animal, Vegetable Or Microbial Fats And Oils Etc","North America",4,"GA","Export",1.45502645502646e-05,0.00251,NA,NA,NA,NA
"Atlanta","15 Animal, Vegetable Or Microbial Fats And Oils Etc","North America",4,"GA","Import",4.85008818342152e-05,0.015048,NA,NA,NA,NA
"Atlanta","15 Animal, Vegetable Or Microbial Fats And Oils Etc","South/Central America",4,"GA","Export",0.000213955026455026,0.114012,0.00363117283950617,0.058293,1.66446208112875e-05,0.005771
"Atlanta","15 Animal, Vegetable Or Microbial Fats And Oils Etc","South/Central America",4,"GA","Import",0.000572530864197531,0.045182,0.000755842151675485,0.106416,0,0.536404
"Atlanta","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects","Africa",4,"GA","Import",0.000360890652557319,0.015686,0.000184303350970018,0.137319,0,0.011091
"Atlanta","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects","Asia",4,"GA","Export",7.37433862433862e-05,0.005346,0.00228670634920635,0.080194,NA,NA
"Atlanta","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects","Asia",4,"GA","Import",7.52865961199295e-05,0.002542,8.81834215167549e-05,0.0024,0,0.130486
"Atlanta","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects","Europe",4,"GA","Import",0.000220348324514991,0.08618,0.000529320987654321,0.269808,0,0.376399
